SYMBOL,R1,R2,R3,R4,R5,R6
Ryr1,229,272,103,162,176,105
Ryr2,22,5,60,21,65,10
Ryr3,7,0,21,6,25,0
S100a1,608,597,999,955,923,900
S100a10,6610,4726,5537,6309,7121,7201
S100a11,6995,5420,6759,7342,8337,7529
S100a11-ps,0,0,0,0,0,0
S100a14,4006,3572,3768,7816,6351,6180
S100a16,3549,3195,3514,3863,4240,3615
S100a2,0,0,0,0,0,0
S100a3,356,238,478,305,432,316
S100a4,18207,16370,18175,7335,10528,8087
S100a5,0,0,0,0,19,0
S100a6,47231,28530,34529,36999,43979,36194
S100a7a,43,24,18,25,32,27
S100a8,201,0,0,1105,1318,1754
S100a9,112,0,0,1574,1624,2228
S100b,8,41,1,4,10,19
S100g,0,0,0,0,0,0
S100pbp,1446,1883,1850,1362,1858,1070
S100z,0,0,0,0,0,0
S1pr1,0,0,15,19,0,0
S1pr2,175,186,412,351,406,332
S1pr3,41,23,77,96,132,159
S1pr4,0,22,35,27,30,1
S1pr5,903,991,1295,405,505,272
Saa-ps,0,0,0,0,0,0
Saa1,0,0,0,3,8,0
Saa2,0,0,0,0,0,0
Saa3,12,32,6,59,6,38
Saa4,11,0,7,1,0,0
Saal1,292,545,709,290,358,340
Sac3d1,256,258,317,412,431,459
Sacm1l,1112,1195,1266,977,1362,961
Sacs,0,40,0,25,44,0
Sae1,1480,1374,2032,2262,2153,2262
Safb,4030,4759,4654,3947,4688,3966
Safb2,2080,2813,3667,2237,3178,2691
Sag,41,49,72,65,75,30
Sall1,12,1,0,8,0,0
Sall2,103,108,219,110,276,140
Sall3,0,0,0,0,0,0
Sall4,0,0,0,0,6,0
Samd1,24,0,28,0,0,0
Samd10,199,269,283,253,339,241
Samd11,28,28,0,22,10,3
Samd12,207,494,495,262,239,125
Samd13,0,0,1,11,7,10
Samd14,445,378,720,292,439,403
Samd15,39,16,26,12,8,28
Samd3,0,0,0,0,0,0
Samd4,485,340,504,261,277,404
Samd4b,2898,3069,3194,3375,3226,3620
Samd5,2605,3637,3321,3734,4211,3784
Samd7,0,0,0,0,0,0
Samd8,864,1164,1155,965,1039,690
Samd9l,0,8,6,24,6,0
Samhd1,735,539,498,472,595,380
Samm50,2517,1973,2406,2168,2824,2530
Samsn1,17,0,0,7,0,11
Samt1,0,0,0,0,0,0
Samt2,0,0,0,0,0,0
Samt3,0,0,0,0,0,0
Samt4,0,0,0,0,0,0
Sap130,1468,1748,1310,1452,1537,1614
Sap18,1063,683,1112,821,582,702
Sap18b,2027,1408,1631,1866,1742,1845
Sap25,37,129,130,11,103,77
Sap30,653,665,396,806,1020,642
Sap30bp,1018,832,1266,1029,1127,1045
Sap30l,949,936,1503,913,1180,1341
Sapcd1,20,0,0,6,0,30
Sapcd2,9,0,27,93,154,76
Sar1a,4074,3871,4475,3796,4451,4575
Sar1b,960,751,901,918,895,840
Saraf,0,56,53,73,122,76
Sardh,1034,990,1484,1340,1547,1442
Sarm1,31,63,33,27,29,3
Sarnp,1645,1313,1528,1583,1812,1446
Sars,1761,1950,2338,2425,2528,2366
Sars2,260,426,141,355,436,281
Sart1,2083,2024,3173,2145,2417,2312
Sart3,1189,1482,1584,1083,1351,1488
Sash1,1907,2372,2593,2920,2684,2405
Sash3,0,0,0,4,42,19
Sass6,199,61,127,119,208,110
Sat1,2617,1894,1994,2062,1614,1680
Sat2,31,47,197,40,60,17
Satb1,352,560,543,379,365,375
Satb2,0,47,0,36,21,14
Satl1,0,0,2,0,5,0
Sav1,1562,1949,1884,2070,2152,1957
Saxo1,0,0,0,0,0,0
Saxo2,135,176,243,113,146,70
Saysd1,223,265,229,213,156,247
Sbds,2558,2393,2860,2605,2138,2371
Sbf1,3204,5038,4283,3051,4597,3342
Sbf2,3156,4326,4032,2341,3332,2396
Sbk1,734,900,1105,1299,1150,1211
Sbk2,0,0,14,0,8,0
Sbk3,32,31,22,10,4,3
Sbno1,2354,3324,3190,2726,2973,2500
Sbno2,6043,5443,6479,6957,6477,6760
Sbp,0,0,0,0,0,0
Sbpl,0,0,0,0,0,0
Sbsn,13204,7569,8757,6328,6897,7006
Sbspon,51,8,43,7,10,13
Sc5d,1063,946,703,1103,1862,1120
Scaf1,2879,4437,4893,3244,4910,4141
Scaf11,3723,5422,5261,4690,4914,4155
Scaf4,1416,1699,1743,1497,1795,1450
Scaf8,2341,2260,2965,2369,2322,2192
Scai,1535,1976,1673,1292,1445,1020
Scamp1,2620,2449,2961,2475,2836,2339
Scamp2,1420,1490,1467,1482,1761,1768
Scamp3,1500,1620,1579,1404,1773,1248
Scamp4,774,583,1062,912,977,1107
Scamp5,58,79,38,111,75,133
Scap,4688,4990,6466,4813,5380,5544
Scaper,1712,1628,1246,1223,1463,1322
Scara3,1535,1381,1131,994,1278,1000
Scara5,46,54,42,27,31,16
Scarb1,167,220,398,427,359,318
Scarb2,4977,5581,6891,6188,6444,5043
Scarf1,0,38,0,13,28,4
Scarf2,519,616,583,423,614,531
Sccpdh,123,873,452,113,126,55
Scd1,1721,33291,6373,1785,2503,1570
Scd2,1352,2184,1739,1559,3656,1460
Scd3,24,120,305,88,72,60
Scd4,0,1,26,0,0,0
Scel,5328,5946,6394,4625,4840,3548
Scfd1,1200,1123,1242,1030,1223,839
Scfd2,361,453,428,448,515,448
Scg2,0,0,0,5,0,0
Scg3,1,0,0,0,0,0
Scg5,0,0,7,0,0,0
Scgb1a1,0,0,0,0,0,0
Scgb1b1-ps,0,0,0,0,0,0
Scgb1b10,0,0,0,0,0,0
Scgb1b11,0,0,0,0,0,0
Scgb1b12,0,0,0,0,0,0
Scgb1b13-ps,0,0,0,0,0,0
Scgb1b14-ps,0,0,0,0,0,0
Scgb1b15,0,0,0,0,0,0
Scgb1b16-ps,0,0,0,0,0,0
Scgb1b17,0,0,0,0,0,0
Scgb1b18,0,0,0,0,0,0
Scgb1b19,0,0,0,0,0,0
Scgb1b2,0,0,0,0,0,0
Scgb1b20,0,0,0,0,0,0
Scgb1b21,0,0,0,0,0,0
Scgb1b22-ps,0,0,0,0,0,0
Scgb1b23-ps,0,0,0,0,0,0
Scgb1b24,0,0,0,0,0,0
Scgb1b25-ps,0,0,0,0,0,0
Scgb1b26-ps,0,0,0,0,0,0
Scgb1b27,0,0,24,0,8,0
Scgb1b28-ps,0,0,0,0,0,0
Scgb1b29,0,0,0,0,0,0
Scgb1b3,0,0,0,0,0,0
Scgb1b30,0,16,10,0,4,0
Scgb1b34-ps,0,0,0,0,0,0
Scgb1b4-ps,0,0,0,0,0,0
Scgb1b5-ps,0,0,0,0,0,0
